Source,Target,Relationship.type,Description
Electric Vehicles,Greenhouse Gas Emissions,negative,EVs can reduce GHG by eliminating direct emissions and utilizing low-carbon electricity sources.
Electric Vehicles,Fossil Fuel Dependency,negative,"Evs can reduce dependency on fossil fuel by decreasing the demand for gasoline and diesel, instead relying on electricity, which can be generated from renewable energy sources."
Electric Vehicles,Public Health,positive,"EVs improve public health by reducing air pollution as they produce no exhaust emissions, which lowers the risk of respiratory and cardiovascular diseases."
Electric Vehicles,Air Quality,positive,EVS improve the air quality by reducing harmful emissions.
Electric Vehicles,Electricity Demand,positive,Electric vehicles (EVs) require energy from the grid to charge their batteries.
Electric Vehicles,Charging Infrastructure,positive,Evs improve the charging infrastructure by supporting growing usage and accessibility.
Electric Vehicles,Energy Efficiency,positive,Evs improve energy efficiency by using less energy to travel the same distance compared to fuel-powered vehicles.
Electric Vehicles,Urban Noise,negative,EVs reduce urban noise because their motors operate much more quietly than internal combustion engines.
Electric Vehicles,Carbon Emissions,negative,"EVs don't burn fossil fuels and can use clean, renewable electricity for power."
Electric Vehicles,Peak demand,mixed,"EVs put more load on the grid, but they can also help make it smarter and cleaner."
Electric Vehicles,Grid Flexibility,positive," EVs can improve the flexibility of the grid by enabling smart charging, providing energy storage through V2G, and supporting the integration of renewable energy."
Electric Vehicles,Infrastructure Costs,negative,EVs require significant investment in grid upgrades and charging networks.
Electric Vehicles,Energy Transition,positive,Evs support energy transition by reducing fossil fuel use and enabling greater use of renewable energy.
Electric Vehicles,Smart Grid Integration,positive,"EVs positively impact smart grid integration by enabling smart charging, energy storage, and better load balancing through real-time communication with the grid."
Electric Vehicles,Charging Point Availability,positive,EVs improve charging point availability by driving investment in charging infrastructure to meet growing demand and expand access.
Electric Vehicles,Congestion,mixed,EVs have a mixed impact on congestionthey can reduce it through shared and public use but increase it if private car ownership rises.
Electric Vehicles,Battery Recycling/Waste Management,negative,"EVs have a negative impact on battery recycling because current recycling systems are not fully developed, and EV batteries are complex, hazardous, and costly to process."
Cost,Electric Vehicles,negative,High cost reduces adoption.
Range (Battery Capacity),Electric Vehicles,positive,Longer range encourages adoption.
Charging Infrastructure Availability,Electric Vehicles,positive,More availability boosts convenience and adoption.
Battery Technology,Electric Vehicles,positive,Better tech improves performance and appeal.
Government Policies and Incentives,Electric Vehicles,positive,Subsidies and incentives encourage uptake.
Environmental Impact Awareness,Electric Vehicles,positive,Awareness of climate benefits supports EV use.
Smart Grid Integration,Electric Vehicles,positive,Supports efficient and flexible charging.
Electricity Availability,Electric Vehicles,positive,Adequate electricity enables wider adoption.
Land Availability for Chargers,Electric Vehicles,positive,Space for chargers facilitates infrastructure deployment.
Infrastructure Delivery Plans,Electric Vehicles,positive,Clear plans accelerate infrastructure roll-out.
Technological Advancements,Electric Vehicles,positive,"Improves usability, reliability, and affordability."
Artificial Intelligence (AI),Electric Vehicles,positive,"Enables smart routing, energy optimization, and predictive maintenance"
Internet of Things (IoT),Electric Vehicles,positive,Enhances real-time data sharing for smart charging and diagnostics.
5G Connectivity,Electric Vehicles,positive,Improves vehicle-to-infrastructure communication and autonomous functions.
Blockchain,Electric Vehicles,positive,Secures EV charging transactions and grid integration data.
Vehicle-to-Grid (V2G) Technology,Electric Vehicles,positive,"Allows EVs to supply energy back to the grid, enhancing grid flexibility."
Wireless Charging,Electric Vehicles,positive,Increases user convenience and charging accessibility.
Autonomous Driving Systems,Electric Vehicles,positive,Can integrate with EVs for future smart mobility.
Smart Grid,Renewable Energy Integration,positive,"Enables better integration of solar, wind, etc."
Smart Grid,Energy Efficiency,positive,Optimizes energy use and distribution
Smart Grid,Power Quality,positive,Reduces blackouts and improves voltage regulation
Smart Grid,System Reliability,positive,Enhances stability and resilience
Smart Grid,Demand-Side Management,positive,Supports real-time load adjustments
Smart Grid,Electric Vehicle Charging,positive,Manages charging demand and prevents overloads
Smart Grid,Smart Meter Utilization,positive,Enhances data usage and responsiveness
Smart Grid,Grid Flexibility,positive,Supports two-way communication and load shifting
Smart Grid,Distributed Generation,positive,Accommodates local energy production
Smart Grid,Cybersecurity Needs,positive,Requires stronger digital protection measures
Smart Grid,AI Integration,positive,Enables optimization and autonomous control
Smart Grid,Consumer Awareness,positive,Improves energy use behavior with real-time feedback
Legislation and Policy,Smart Grid,positive,Regulatory support enables deployment
Technology Maturity,Smart Grid,positive,Advanced tech is necessary for full functionality
Data Privacy and Security,Smart Grid,negative,Concerns limit adoption and trust
User Acceptance,Smart Grid,positive,Willingness to adopt smart tech supports rollout
Energy Storage Systems,Smart Grid,positive,Enables load balancing and demand response
IoT Infrastructure,Smart Grid,positive,Allows for connected devices and grid monitoring
AI and Machine Learning,Smart Grid,positive,Enable predictive maintenance and optimization
Renewable Energy Variability,Smart Grid,negative,Causes grid balancing challenges
Weather and Climate,Smart Grid,negative,Affects load forecasting and energy production
